timestamp,user,image_file,true_region,prompt_type,selected_region,is_correct
2025-12-09 04:56:36,Kato,nara_complex_008.png,nara,complex,shiga,0
2025-12-09 04:56:42,Kato,osaka_simple_006.png,osaka,simple,saitama,0
2025-12-09 04:57:17,Kato,saga_simple_007.png,saga,simple,saitama,0
2025-12-09 04:57:22,Kato,saitama_simple_007.png,saitama,simple,saitama,1
2025-12-09 04:57:56,Kato,nara_complex_005.png,nara,complex,shiga,0
2025-12-09 04:58:07,Kato,miyazaki_complex_010.png,miyazaki,complex,saga,0
2025-12-09 04:58:24,Kato,shiga_complex_003.png,shiga,complex,saga,0
2025-12-09 04:58:28,Kato,osaka_simple_002.png,osaka,simple,osaka,1
2025-12-09 04:58:33,Kato,nara_simple_005.png,nara,simple,miyazaki,0
2025-12-09 04:58:36,Kato,saitama_complex_004.png,saitama,complex,saitama,1
2025-12-09 04:59:00,Kato,shiga_simple_008.png,shiga,simple,shiga,1
2025-12-09 04:59:03,Kato,osaka_complex_005.png,osaka,complex,osaka,1
2025-12-09 04:59:11,Kato,shiga_simple_004.png,shiga,simple,miyazaki,0
2025-12-09 04:59:25,Kato,saga_simple_008.png,saga,simple,saga,1
2025-12-09 04:59:29,Kato,saitama_complex_006.png,saitama,complex,saitama,1
2025-12-09 04:59:33,Kato,saga_complex_009.png,saga,complex,saga,1
2025-12-09 04:59:42,Kato,nara_complex_010.png,nara,complex,shiga,0
2025-12-09 04:59:55,Kato,osaka_simple_010.png,osaka,simple,nara,0
2025-12-09 05:00:19,Kato,osaka_simple_003.png,osaka,simple,shiga,0
2025-12-09 05:00:25,Kato,miyazaki_complex_005.png,miyazaki,complex,miyazaki,1
2025-12-09 05:00:28,Kato,nara_simple_007.png,nara,simple,miyazaki,0
2025-12-09 05:00:39,Kato,shiga_simple_009.png,shiga,simple,nara,0
2025-12-09 05:00:50,Kato,miyazaki_simple_010.png,miyazaki,simple,saitama,0
2025-12-09 05:01:00,Kato,osaka_simple_007.png,osaka,simple,nara,0
2025-12-09 05:01:09,Kato,miyazaki_simple_008.png,miyazaki,simple,miyazaki,1
2025-12-09 05:01:13,Kato,nara_complex_001.png,nara,complex,miyazaki,0
2025-12-09 05:01:15,Kato,saitama_complex_007.png,saitama,complex,saitama,1
2025-12-09 05:01:26,Kato,shiga_complex_002.png,shiga,complex,miyazaki,0
2025-12-09 05:01:34,Kato,saga_simple_005.png,saga,simple,saitama,0
