timestamp,user,image_file,true_region,prompt_type,selected_region,is_correct
2025-12-09 04:57:09,eshita,miyazaki_simple_005.png,miyazaki,simple,nara,0
2025-12-09 04:58:16,eshita,shiga_simple_005.png,shiga,simple,shiga,1
2025-12-09 04:58:20,eshita,shiga_complex_004.png,shiga,complex,shiga,1
2025-12-09 04:59:36,eshita,nara_simple_002.png,nara,simple,osaka,0
2025-12-09 05:00:36,eshita,saitama_simple_010.png,saitama,simple,saitama,1
2025-12-09 05:01:29,eshita,miyazaki_simple_006.png,miyazaki,simple,miyazaki,1
2025-12-09 05:01:45,eshita,saga_complex_005.png,saga,complex,miyazaki,0
2025-12-09 05:02:03,eshita,saitama_complex_007.png,saitama,complex,saitama,1
2025-12-09 05:02:09,eshita,osaka_simple_002.png,osaka,simple,osaka,1
2025-12-09 05:02:26,eshita,saitama_complex_001.png,saitama,complex,saitama,1
2025-12-09 05:02:49,eshita,saga_simple_004.png,saga,simple,saga,1
2025-12-09 05:03:20,eshita,osaka_complex_001.png,osaka,complex,nara,0
2025-12-09 05:03:40,eshita,saga_simple_001.png,saga,simple,saga,1
2025-12-09 05:04:04,eshita,saga_simple_003.png,saga,simple,saitama,0
2025-12-09 05:04:40,eshita,shiga_simple_008.png,shiga,simple,saga,0
2025-12-09 05:05:25,eshita,shiga_simple_003.png,shiga,simple,saitama,0
2025-12-09 05:05:44,eshita,osaka_simple_005.png,osaka,simple,osaka,1
2025-12-09 05:06:00,eshita,nara_complex_010.png,nara,complex,miyazaki,0
2025-12-09 05:06:22,eshita,nara_simple_007.png,nara,simple,saitama,0
2025-12-09 05:07:10,eshita,nara_simple_005.png,nara,simple,saitama,0
2025-12-09 05:07:14,eshita,osaka_simple_009.png,osaka,simple,osaka,1
2025-12-09 05:07:40,eshita,saga_simple_008.png,saga,simple,miyazaki,0
2025-12-09 05:07:50,eshita,nara_simple_006.png,nara,simple,osaka,0
2025-12-09 05:08:27,eshita,shiga_simple_010.png,shiga,simple,osaka,0
2025-12-09 05:08:29,eshita,saitama_complex_004.png,saitama,complex,saitama,1
2025-12-09 05:08:36,eshita,saitama_complex_002.png,saitama,complex,saitama,1
2025-12-09 05:09:02,eshita,saitama_simple_009.png,saitama,simple,osaka,0
2025-12-09 05:09:06,eshita,osaka_complex_002.png,osaka,complex,osaka,1
2025-12-09 05:09:42,eshita,nara_simple_009.png,nara,simple,miyazaki,0
2025-12-09 05:10:32,eshita,osaka_complex_010.png,osaka,complex,nara,0
2025-12-09 05:11:12,eshita,miyazaki_complex_010.png,miyazaki,complex,miyazaki,1
2025-12-09 05:11:17,eshita,osaka_complex_007.png,osaka,complex,osaka,1
2025-12-09 05:11:22,eshita,miyazaki_simple_002.png,miyazaki,simple,saitama,0
2025-12-09 05:12:09,eshita,nara_simple_008.png,nara,simple,miyazaki,0
2025-12-09 05:12:11,eshita,osaka_complex_003.png,osaka,complex,osaka,1
2025-12-09 05:12:18,eshita,miyazaki_simple_004.png,miyazaki,simple,miyazaki,1
2025-12-09 05:13:10,eshita,miyazaki_complex_002.png,miyazaki,complex,miyazaki,1
2025-12-09 05:13:19,eshita,miyazaki_complex_006.png,miyazaki,complex,miyazaki,1
2025-12-09 05:13:50,eshita,saga_simple_009.png,saga,simple,saitama,0
2025-12-09 05:13:58,eshita,miyazaki_complex_003.png,miyazaki,complex,miyazaki,1
2025-12-09 05:14:02,eshita,shiga_complex_006.png,shiga,complex,osaka,0
2025-12-09 05:14:06,eshita,nara_simple_003.png,nara,simple,osaka,0
2025-12-09 05:14:08,eshita,saitama_simple_003.png,saitama,simple,saitama,1
2025-12-09 05:14:38,eshita,shiga_simple_002.png,shiga,simple,miyazaki,0
2025-12-09 05:15:31,eshita,saga_complex_008.png,saga,complex,miyazaki,0
2025-12-09 05:16:30,eshita,miyazaki_simple_009.png,miyazaki,simple,osaka,0
2025-12-09 05:16:59,eshita,osaka_simple_001.png,osaka,simple,miyazaki,0
2025-12-09 05:18:37,eshita,nara_complex_009.png,nara,complex,saitama,0
2025-12-09 05:18:39,eshita,osaka_simple_003.png,osaka,simple,osaka,1
2025-12-09 05:18:59,eshita,miyazaki_complex_005.png,miyazaki,complex,saga,0
2025-12-09 05:19:23,eshita,saga_simple_010.png,saga,simple,saga,1
2025-12-09 05:19:24,eshita,saitama_complex_008.png,saitama,complex,saga,0
2025-12-09 05:19:55,eshita,shiga_simple_001.png,shiga,simple,miyazaki,0
2025-12-09 05:20:44,eshita,saga_complex_007.png,saga,complex,saga,1
2025-12-09 05:20:44,eshita,saga_complex_003.png,saga,complex,saga,1
2025-12-09 05:20:53,eshita,saga_complex_004.png,saga,complex,saga,1
2025-12-09 05:20:59,eshita,nara_simple_010.png,nara,simple,osaka,0
2025-12-09 05:21:07,eshita,shiga_complex_007.png,shiga,complex,shiga,1
2025-12-09 05:21:24,eshita,saga_complex_006.png,saga,complex,saga,1
2025-12-09 05:21:29,eshita,osaka_simple_010.png,osaka,simple,osaka,1
2025-12-09 05:21:34,eshita,saga_complex_001.png,saga,complex,miyazaki,0
2025-12-09 05:21:38,eshita,saitama_complex_005.png,saitama,complex,saitama,1
